ts_recv,cancel_type,delta_t,volume_ahead,induced_imbalance,relative_size,price_distance_ticks,spread_bps,mid_price
1692259224290472207,1,2.1769e+10,0,0,0.02,0,615.233,0.91185
1692259258709261885,1,329940,0,0.0533835,0.5,0,301.312,0.92595
1692259377101009437,0,1.5498e+11,700,0.00379154,0.173611,1.51,301.312,0.92595
1692259443827945964,0,2.01053e+10,3492,0,8.71,15.53,245.844,0.92335
1692259459166530608,0,3.75038e+10,0,0.00261298,0.12,0,301.312,0.92595
1692259720900852575,0,4.7177e+11,0,0.118069,1,0,237.257,0.92305
1692259775343358486,0,4.20775e+10,115,0.0900117,5,0.01,237.257,0.92305
1692259791565393126,1,1.6221e+10,0,0.3474,5,0,236.161,0.9231
1692259796912505796,0,2.14059e+10,500,0.0110286,0.2,0,237.257,0.92305
1692259919881851208,1,2.9269e+10,0,0.0861579,1,0,237.257,0.92305
1692259919883822663,0,2.71879e+11,0,0.0196967,1,0,238.353,0.923
1692259975319404065,1,6.69344e+11,100,0.00914084,0.15,0,551.185,0.90895
1692260134615040955,0,9.29967e+11,0,0.513479,4,0,551.185,0.90895
1692260257361162783,1,3.7374e+10,0,0.0312786,2,0,326.442,0.919
1692260362691932838,0,1.16024e+12,0,0,100,0,326.442,0.919
1692260444252047949,0,5.43865e+11,363,0.0779524,1,10.34,320.914,0.91925
1692260451696375424,1,2.62714e+09,0,0.0245834,0.5,0,320.914,0.91925
1692260693679509720,0,5.89766e+11,5192,0,1.24,36.6,313.18,0.9196
1692260711239419819,0,5.85663e+11,5316,0,0.12,36.6,313.18,0.9196
1692260718884350955,1,5.33882e+09,0,0.0187886,0.16,0,304.348,0.92
1692260718884350955,1,1.17436e+09,16,0.00115937,0.01,0,313.18,0.9196
1692260720892800467,1,2.0084e+09,0,0.0739057,1,0,8.83392,0.9056
1692260757573722257,1,3.66809e+10,0,0.0739057,1,0,8.83392,0.9056
1692260757578920421,1,5.14792e+06,0,0.0739057,1,0,313.18,0.9196
1692260757582709694,1,3.74889e+06,0,0.0739057,1,0,313.18,0.9196
1692260757586525323,1,3.77789e+06,0,0.0739057,1,0,313.18,0.9196
1692260758194266349,0,3.93821e+11,0,0.0905754,0.78,0,8.83392,0.9056
1692260762783517168,1,1.25818e+11,0,0.0313884,1,0,15.4645,0.9053
1692260806145341209,0,4.85588e+10,0,0.0145996,0.19,0,319.809,0.9193
1692260816665996863,0,3.39131e+09,0,0.267826,4,0,319.809,0.9193
1692260817014982311,0,3.44711e+08,0,0.208309,4,0,310.971,0.9197
1692260817361746578,0,3.4271e+08,0,0.208665,4,0,310.971,0.9197
1692260817728960991,0,3.63523e+08,0,0.208665,4,0,310.971,0.9197
1692260818070943280,0,3.3826e+08,0,0.208665,4,0,310.971,0.9197
1692260818405289986,0,3.30574e+08,0,0.208665,4,0,310.971,0.9197
1692260818931183296,0,5.2226e+08,0,0.208665,4,0,310.971,0.9197
1692260819256290214,0,3.21439e+08,0,0.208665,4,0,310.971,0.9197
1692260826622164417,0,7.36199e+09,0,0.208665,4,0,310.971,0.9197
1692260864574504185,0,1.88621e+10,0,0.208665,4,0,310.971,0.9197
1692260868939753732,0,4.36143e+09,0,0.208665,4,0,310.971,0.9197
1692260869275930284,0,3.32433e+08,0,0.208665,4,0,310.971,0.9197
1692260869950031069,0,6.70432e+08,0,0.208665,4,0,310.971,0.9197
1692260871364153156,0,1.41048e+09,0,0.208665,4,0,310.971,0.9197
1692260872390393349,0,1.02232e+09,0,0.208665,4,0,310.971,0.9197
1692260872731406865,0,3.37057e+08,0,0.208665,4,0,310.971,0.9197
1692260872734826332,1,5.58134e+10,0,0.000159023,0.01,0,319.809,0.9193
1692260873055882276,0,3.21058e+08,0,0.207852,3.99,0,319.809,0.9193
1692260873396730404,0,3.37377e+08,0,0.208309,4,0,319.809,0.9193
1692260873745393039,0,3.13034e+08,0,0.252618,5,0,319.809,0.9193
1692260876863461866,0,3.11449e+09,0,0.252618,5,0,319.809,0.9193
1692260877179293843,0,3.07852e+08,0,0.208309,4,0,319.809,0.9193
1692260877522811839,0,3.39822e+08,0,0.208309,4,0,319.809,0.9193
1692260877877875303,0,3.5137e+08,0,0.208309,3.22581,0,319.809,0.9193
1692260879015516353,0,1.1338e+09,0,0.208309,3.22581,0,319.809,0.9193
1692260879019429119,1,2.52103e+11,0,0.0337623,1,0,325.336,0.91905
1692260880951032366,0,1.92834e+09,0,0.210982,3.22581,0,325.336,0.91905
1692260881296811732,0,3.41711e+08,0,0.210982,3.22581,0,325.336,0.91905
1692260881689247088,0,3.88495e+08,0,0.210982,2.77778,0,325.336,0.91905
1692260882104039941,0,4.1081e+08,0,0.210982,2.77778,0,325.336,0.91905
1692260882841773070,0,7.34258e+08,0,0.210982,2,0,325.336,0.91905
1692260882846655315,1,6.93195e+10,100,0.228579,10,0.05,326.442,0.919
1692260883489294367,0,6.112e+08,0,0.0744286,0.5,0,326.442,0.919
1692260906874134108,1,6.82687e+11,200,0.000443754,0.03,0,326.442,0.919
1692260906874134108,1,5.16408e+11,83,0.0010946,0.01,0.05,326.442,0.919
1692260906874134108,1,1.01348e+11,106,0.000247783,0.01,0.06,370.774,0.917
1692260942645482988,1,1.10871e+10,0,0.000308345,0.005,0,370.774,0.917
1692260951135083422,0,2.86101e+11,1840,0,3,9.43,370.774,0.917
1692260951148538808,0,1.01965e+12,263,0.0177093,1,10.32,370.774,0.917
1692260951160486703,0,1.0409e+12,2913,0,1,13.22,370.774,0.917
1692261088115425792,0,6.4276e+11,84,0.763551,9,0.45,370.774,0.917
1692261243479771410,0,8.2656e+09,0,0.258486,2.08333,0,359.673,0.9175
1692261244967835434,0,1.82474e+12,163,0.720953,21.5,11.1,359.673,0.9175
1692261258396477823,0,5.11472e+10,0,0.000723167,0.00694444,0,370.774,0.917
1692261356242577741,1,9.07118e+11,1034,0.160967,4,0.5,370.774,0.917
1692261436296966516,0,2.13329e+09,0,0.499649,4,0,551.185,0.90895
1692261490751178296,1,3.1711e+10,0,0.0997236,0.5,0,345.767,0.89945
1692261490760857912,1,2.52528e+06,0,0.532594,16.885,0,345.767,0.89945
1692261602592299435,0,2.66145e+10,0,0.00228585,0.5,0,24.5508,0.8961
1692261647855497933,1,1.28562e+11,0,0.122753,3,0,24.5508,0.8961
1692261658904758092,1,19244,0,0.119352,4,0,24.5508,0.8961
1692261758354485788,1,7.75925e+10,0,0.0840047,0.625,0,196.446,0.9061
1692261758354485788,1,6.34693e+10,125,0.104651,1,0,220.994,0.905
1692261810541674519,0,1.29926e+11,100,0.00487273,2,0,196.446,0.9061
1692261929915397829,1,1.13226e+11,0,0.0297772,0.075,0,196.446,0.9061
1692261929916171689,1,1.71562e+11,0,0.0357143,0.25,0,220.994,0.905
